City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
487,lake munmorah,-33.1936,151.5719,19.5,92,100,2.14,AU,1731312078
488,hovd,48.0056,91.6419,5.07,28,98,1.59,MN,1731312079
489,margate,51.3813,1.3862,9.83,83,100,1.34,GB,1731312080
490,livingston,55.9029,-3.5226,6.26,93,0,1.03,GB,1731312081
491,khanty-mansiysk,61.0042,69.0019,-9.94,73,40,4.0,RU,1731312083
492,ambon,-3.6954,128.1814,31.08,66,40,1.54,ID,1731312084
493,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,93,100,3.0,RU,1731312086
494,pahrump,36.2083,-115.9839,11.25,28,5,2.66,US,1731312087
495,wukari,7.85,9.7833,26.81,31,0,4.09,NG,1731312088
496,rechytsa,52.3617,30.3916,3.97,80,100,0.17,BY,1731312089
497,ponta delgada,37.7333,-25.6667,20.4,94,75,6.69,PT,1731312090
498,powell,40.1578,-83.0752,9.82,87,0,0.89,US,1731312091
499,ianca,45.1333,27.45,6.13,62,100,6.08,RO,1731312093
500,polva,58.0603,27.0694,4.04,90,100,2.25,EE,1731312094
501,haiku-pauwela,20.9219,-156.3051,25.02,69,14,8.49,US,1731312095
502,novi pazar,43.1367,20.5122,3.96,75,100,1.42,RS,1731312096
503,mirny,62.5353,113.9611,-16.41,100,83,1.68,RU,1731312097
504,tay ninh,11.3,106.1,31.45,58,54,1.6,VN,1731312098
505,gua musang,4.8823,101.9644,29.31,85,100,0.63,MY,1731312099
506,gallup,35.5281,-108.7426,4.77,57,0,0.25,US,1731312100
507,katabu,-4.9333,122.5167,30.98,58,83,2.8,ID,1731312102
508,dondo,-19.6094,34.7431,30.73,37,97,2.81,MZ,1731312103
509,antsiranana,-12.2787,49.2917,30.42,54,75,7.2,MG,1731312104
510,at taj,24.2049,23.2857,19.95,32,5,3.72,LY,1731312105
511,sakaiminato,35.55,133.2333,18.99,63,20,4.63,JP,1731312106
512,pankrushikha,53.8319,80.3406,-4.46,70,100,5.37,RU,1731312108
513,colonia,50.9333,6.95,9.51,91,75,2.57,DE,1731312109
514,malango,-2.9627,119.9001,23.66,94,99,0.97,ID,1731312111
515,kavaratti,10.5669,72.642,28.51,70,11,4.22,IN,1731312112
516,kolonia town,6.964,158.206,26.0,94,100,2.57,FM,1731312113
517,murzuq,25.9155,13.9184,19.56,27,87,3.22,LY,1731312114
518,sisimiut,66.9395,-53.6735,-6.28,79,100,2.12,GL,1731312115
519,kenai,60.5544,-151.2583,-2.14,93,0,2.06,US,1731312116
520,buka,40.8108,69.1986,13.0,47,3,1.58,UZ,1731312117
521,suva,-18.1416,178.4415,22.71,94,75,4.12,FJ,1731312118
522,kaa-khem,51.6833,94.7333,1.6,40,100,0.46,RU,1731312120
523,aginskoye,51.1,114.53,-5.2,76,69,5.09,RU,1731312121
524,al ghayzah,16.2079,52.176,29.19,47,2,3.31,YE,1731312122
525,dryden,49.7833,-92.7503,-0.84,86,100,8.23,CA,1731312123
526,saint-philippe,-21.3585,55.7679,26.06,79,6,6.28,RE,1731312124
527,berezovyy,51.6667,135.7,-5.26,56,6,2.58,RU,1731312125
528,inhambane,-23.865,35.3833,27.99,78,75,5.36,MZ,1731312126
529,hepingjie,42.0597,126.9158,4.29,65,100,2.36,CN,1731312127
530,belmopan,17.25,-88.7667,21.97,99,23,1.1,BZ,1731312129
531,tamanrasset,22.785,5.5228,15.95,36,0,1.54,DZ,1731312130
532,forest grove,45.5198,-123.1107,11.98,95,100,1.54,US,1731312131
533,vilyuysk,63.7553,121.6247,-12.22,96,100,2.32,RU,1731312132
534,palikir - national government center,6.9248,158.1611,25.41,94,100,2.57,FM,1731312133
535,brookings,44.3114,-96.7984,4.47,92,40,7.2,US,1731312134
536,catalao,-18.1658,-47.9464,19.26,93,32,2.8,BR,1731312135
537,byron bay,-28.65,153.6167,22.3,95,86,2.64,AU,1731312039
538,pont rouge,48.8833,-72.0825,2.88,88,100,3.63,CA,1731312138
539,gorontalo,0.5412,123.0595,28.52,79,100,1.19,ID,1731312139
540,batticaloa,7.7102,81.6924,29.38,70,100,4.32,LK,1731312140
541,peniche,39.3558,-9.3811,16.78,93,12,5.08,PT,1731312141
542,altai,46.3722,96.2583,-0.88,48,58,9.52,MN,1731312142
543,al jawf,29.5,38.75,20.4,53,0,4.6,SA,1731312143
544,amga,60.8953,131.9608,-18.27,100,81,1.43,RU,1731312144
545,cua,10.1589,-66.8858,21.75,96,23,1.29,VE,1731312078
546,kuanda,56.3161,116.0806,-15.99,98,67,0.5,RU,1731312147
547,qusmuryn,52.4503,64.6311,-6.62,87,54,5.18,KZ,1731312148
548,cidreira,-30.1811,-50.2056,18.18,89,0,5.4,BR,1731312149
549,boende,-0.2167,20.8667,23.56,78,100,0.62,CD,1731312150
550,serhiyivka,46.0272,30.3768,8.56,66,45,6.75,UA,1731312151
551,tweed heads,-28.1817,153.547,24.02,88,75,2.57,AU,1731312152
552,viedma,-40.8135,-62.9967,11.82,64,100,7.59,AR,1731312153
553,ust-nera,64.5667,143.2,-28.19,99,88,1.0,RU,1731312157
554,tambura,5.6,27.4667,28.17,60,70,1.26,SS,1731312158
555,meadow lake,34.8014,-106.5436,5.94,53,32,1.55,US,1731312160
556,champerico,14.3,-91.9167,24.65,89,88,1.97,GT,1731312161
557,labytnangi,66.6572,66.4183,-19.07,92,68,1.67,RU,1731312162
558,patacamaya,-17.2333,-67.9167,8.33,82,21,2.09,BO,1731312163
559,leninskoye,41.7589,69.3864,10.59,53,13,4.11,KZ,1731312164
560,green river,41.5286,-109.4662,1.59,51,1,1.62,US,1731312166
561,la sarre,48.8002,-79.1996,1.44,99,100,1.23,CA,1731312167
562,palmer,42.1584,-72.3287,13.28,80,100,4.12,US,1731312168
563,maine soroa,13.2114,12.0241,26.56,23,6,5.86,NE,1731312169
564,pangkalanbuun,-2.6833,111.6167,27.62,76,98,0.66,ID,1731312170
565,wotho,10.1657,166.0102,28.52,79,18,7.41,MH,1731312171
566,acajutla,13.5928,-89.8275,24.74,87,100,2.51,SV,1731312172
567,usogorsk,63.4106,48.6872,-1.2,94,99,1.34,RU,1731312173
